City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,timimoun,29.2639,0.231,88.53800000000004,14,1,5.52,DZ,2023-04-22 13:07:54
260,oranjemund,-28.55,16.4333,56.102000000000075,63,95,2.01,NA,2023-04-22 13:07:54
261,lohardaga,23.4333,84.6833,75.16400000000004,40,100,3.07,IN,2023-04-22 13:07:54
262,lamu,-2.2717,40.902,77.21600000000001,87,100,4.21,KE,2023-04-22 13:07:54
263,tadjourah,12.0,42.5,80.78000000000004,60,100,6.74,DJ,2023-04-22 13:07:55
264,san patricio,28.017,-97.5169,81.15800000000002,57,3,6.4,US,2023-04-22 13:07:46
265,pont rouge,48.8833,-72.0825,52.88000000000004,65,97,6.99,CA,2023-04-22 13:07:55
266,dzhankoy,45.7167,34.4,48.182000000000016,76,99,2.18,UA,2023-04-22 13:07:56
267,mili,6.0815,171.735,81.59000000000003,81,39,7.28,MH,2023-04-22 13:07:56
268,bamboo flat,11.7,92.7167,82.16600000000001,73,0,1.96,IN,2023-04-22 13:04:16
269,ordynskoye,54.3656,81.8994,37.202000000000076,62,66,3.54,RU,2023-04-22 13:07:56
270,reggane,26.7158,0.1714,91.61600000000001,12,0,4.0,DZ,2023-04-22 13:07:57
271,papao,-17.75,-149.55,80.2760000000001,87,100,5.36,PF,2023-04-22 13:07:57
272,sao tome,0.3365,6.7273,82.14800000000002,79,36,2.99,ST,2023-04-22 13:07:57
273,maraba,-5.3686,-49.1178,91.58000000000004,62,20,1.54,BR,2023-04-22 13:06:16
274,talnakh,69.4865,88.3972,27.662000000000056,95,100,5.4,RU,2023-04-22 13:07:39
275,nar'yan-mar,67.6713,53.087,32.97200000000004,98,100,7.14,RU,2023-04-22 13:07:58
276,trairi,-3.2778,-39.2689,84.25400000000005,66,12,5.34,BR,2023-04-22 13:07:03
277,tura,25.5198,90.2201,73.59800000000003,60,33,2.33,IN,2023-04-22 13:07:34
